Date,Price
12/31/10,20.23
12/30/10,20.23
12/29/10,20.25
12/28/10,20.35
12/27/10,20.16
12/23/10,19.69
12/22/10,19.56
12/21/10,19.53
12/20/10,19.62
12/17/10,19.55
12/16/10,19.75
12/15/10,19.47
12/14/10,19.54
12/13/10,19.58
12/10/10,19.7
12/09/10,19.7
12/08/10,19.35
12/07/10,19.39
12/06/10,19.43
12/03/10,19.07
12/02/10,19.22
12/01/10,19.32
11/30/10,19.16
11/29/10,19.44
11/26/10,19.49
11/24/10,19.46
11/23/10,19.2
11/22/10,19.56
11/19/10,19.61
11/18/10,19.61
11/17/10,19.41
11/16/10,19.44
11/15/10,19.95
11/12/10,20.15
11/11/10,20.52
11/10/10,24.49
11/09/10,24.35
11/08/10,24.39
11/05/10,24.26
11/04/10,24.21
11/03/10,23.71
11/02/10,23.17
11/01/10,22.92
10/29/10,22.86
10/28/10,23.19
10/27/10,23.29
10/26/10,23.4
10/25/10,23.61
10/22/10,23.48
10/21/10,23.26
10/20/10,23.4
10/19/10,22.97
10/18/10,23.3
10/15/10,23.36
10/14/10,23.07
10/13/10,23.18
10/12/10,22.62
10/11/10,22.47
10/08/10,22.48
10/07/10,22.39
10/06/10,22.3
10/05/10,21.99
10/04/10,21.76
10/01/10,21.91
09/30/10,21.9
09/29/10,21.87
09/28/10,21.86
09/27/10,22.11
09/24/10,22.09
09/23/10,21.53
09/22/10,21.67
09/21/10,21.64
09/20/10,21.75
09/17/10,21.86
09/16/10,21.93
09/15/10,21.59
09/14/10,21.45
09/13/10,21.26
09/10/10,20.62
09/09/10,20.61
09/08/10,20.64
09/07/10,20.58
09/03/10,21.04
09/02/10,20.52
09/01/10,20.26
08/31/10,19.99
08/30/10,20.32
08/27/10,20.81
08/26/10,20.7
08/25/10,21.21
08/24/10,21.13
08/23/10,21.68
08/20/10,22.23
08/19/10,22.22
08/18/10,22.41
08/17/10,22.05
08/16/10,21.91
08/13/10,21.36
08/12/10,21.36
08/11/10,23.73
08/10/10,24.31
08/09/10,24.77
08/06/10,24.07
08/05/10,24.17
08/04/10,24.14
08/03/10,23.82
08/02/10,23.8
07/30/10,23.07
07/29/10,23.21
07/28/10,23.39
07/27/10,23.3
07/26/10,23.61
07/23/10,23.35
07/22/10,23.27
07/21/10,22.56
07/20/10,23.05
07/19/10,22.73
07/16/10,22.75
07/15/10,23.92
07/14/10,23.74
07/13/10,23.09
07/12/10,22.86
07/09/10,22.7
07/08/10,22.55
07/07/10,22.48
07/06/10,21.34
07/02/10,21.13
07/01/10,21.26
06/30/10,21.31
06/29/10,21.62
06/28/10,22.42
06/25/10,22.18
06/24/10,22.57
06/23/10,22.86
06/22/10,22.97
06/21/10,23.34
06/18/10,23.49
06/17/10,23.17
06/16/10,23.29
06/15/10,23.33
06/14/10,22.76
06/11/10,22.91
06/10/10,22.77
06/09/10,22.78
